746,OFF 5TH,SM,SAN MARCOS O5,3943 IH 35 S,SAN MARCOS,TX,78666-6194,597
747,OFF 5TH,OC,ORLANDO O5,4953 INTERNATIONAL DR,ORLANDO,FL,32819-9434,575
749,OFF 5TH,MO,MILPITAS O5,1330 GREAT MALL DR,MILPITAS,CA,95035-8037,597
750,OFF 5TH,HC,HAWAII O5,94-800 LUMIANIA STREET,WAIPAHU,HI,96797-5676,597
751,OFF 5TH,GM,GURNEE O5,6170 WEST GRAND AVENUE,GURNEE MILLS,IL,60031-4547,575
752,OFF 5TH,PV,PETALUMA O5,2200 PETALUMA BVD. NORTH,PETALUMA,CA,94952-6321,597
753,OFF 5TH,SS,ST. LOUIS O5,18501 OUTLET BLVD #306,ST. LOUIS,MO,63005,575
754,OFF 5TH,CF,CAMARILLO O5,520 E VENTURA BLVD#1400,CAMARILLO,CA,93010-5863,597
755,OFF 5TH,PO,POTOMAC O5,2700 POTOMAC MILLS CIRC,PRINCE WILLIAMS,VA,22192-4651,575
756,OFF 5TH,RS,ROSEMONT O5,5220 FASHION OUTL #1295,ROSEMONT,IL,60018,575
,,,,,,Servicing,,
,,,,,States,,,
,,,,For all new stores the following,,DC,,
,,,,store state to servicing DC guide,"AZ, CA, CO, HI, NV, OK,",,,
,,Saks Fifth Avenue / Saks OFF FIFTH,,,,597,,
,,,,can be used:,"OR, TX, WA",,,
,,Store to DC Servicing List,,,All other states,575,,
757,OFF 5TH,SY,SYRACUSE O5,9090 DESTINY USA DR,SYRACUSE,NY,13290-9098,575
759,OFF 5TH,FM,FRANKLIN O5,1618 PHILADELPHIA MILLS CIR,PHILADELPHIA,PA,19154-3133,575
760,OFF 5TH,TA,TUCSON O5,7325 N LACHOLLA BLVD,TUCSON,AZ,85741-2334,597
761,OFF 5TH,JM,JACKSON O5,200 BASS PRO DR,PEARL,MS,39208,575
762,OFF 5TH,DG,DAWSONVILLE O5,800 HIGHWAY 400 SOUTH S,DAWSONVILLE,GA,30534-6895,575
763,OFF 5TH,PZ,PHOENIX O5,4976 PREM OUTL WAY #100,PHOENIX,AZ,85226,597
765,OFF 5TH,GR,GRAND PRAIRIE O5,2950 W. I-20,GRAND PRAIRIE,TX,75052-8052,597
767,OFF 5TH,NC,NIAGARA O5,1892 MILITARY ROAD,NIAGARA FALLS,NY,14304-1772,575
769,OFF 5TH,LM,LIVERMORE O5,3310 PARAGON OUTLET BLV,LIVERMORE,CA,94551,597
770,OFF 5TH,VF,ORLANDO VINELAND O5,8215 VINELAND AVE #1901,ORLANDO,FL,32821,575
771,OFF 5TH,SQ,SUGARLAND O5,2745C TOWN CENTER BLVD N,SUGAR LAND,TX,77479-2320,597
772,OFF 5TH,AF,AURORA O5,549 S CHILLICOTHE RD,AURORA,OH,44202-8857,575
773,OFF 5TH,CT,CLINTON O5,20 KILLINGWORTH TPKE,CLINTON,CT,06413-1383,575
774,OFF 5TH,MA,MEBANE O5,4000 ARROWHEADBLVD #380,MEBANE,NC,27302-7649,575
776,OFF 5TH,WB,WESTBURY O5,1070 OLD COUNTRY RD,GARDEN CITY,NY,11530-2147,575
777,OFF 5TH,CS,CYPRESS O5,29300 HEMPSTEAD RD,CYPRESS,TX,77433-4397,597
778,OFF 5TH,ON,ONTARIO O5,4490 MILLS CIR,ONTARIO,CA,91764-5206,597
