 Product, Product Description, GTIN, Color Code, Color Descripton,Size Description, Create Date,Import,Category,Name,Sales price,Cost, Product,Bloomies Size,UPCs Left: ,  158 ,
16285,Tank Top,810065435002,216,Lt Cafe,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A96,E96,F96)",Top,16285 - Lt Cafe - L,11,5.95,16285,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435019,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A97,E97,F97)",Top,16286 - Black - XS,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435026,1,Black,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A98,E98,F98)",Top,16286 - Black - S,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435033,1,Black,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A99,E99,F99)",Top,16286 - Black - M,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435040,1,Black,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A100,E100,F100)",Top,16286 - Black - L,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435057,216,Lt Cafe,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A101,E101,F101)",Top,16286 - Lt Cafe - XS,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435064,216,Lt Cafe,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A102,E102,F102)",Top,16286 - Lt Cafe - S,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435071,216,Lt Cafe,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A103,E103,F103)",Top,16286 - Lt Cafe - M,17.5,9,16286,#NAME?,,,
16286,L/S V-Neck Rouched Front,810065435088,216,Lt Cafe,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A104,E104,F104)",Top,16286 - Lt Cafe - L,17.5,9,16286,#NAME?,,,
16287,Long Rib Skirt w/ Chinch,810065435095,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A105,E105,F105)",Skirt,16287 - Black - XS,17,8.12,16287,#NAME?,,,
16287,Long Rib Skirt w/ Chinch,810065435101,1,Black,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A106,E106,F106)",Skirt,16287 - Black - S,17,8.12,16287,#NAME?,,,
16287,Long Rib Skirt w/ Chinch,810065435118,1,Black,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A107,E107,F107)",Skirt,16287 - Black - M,17,8.12,16287,#NAME?,,,
16287,Long Rib Skirt w/ Chinch,810065435125,1,Black,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A108,E108,F108)",Skirt,16287 - Black - L,17,8.12,16287,#NAME?,,,
16288,Pull on Flare Pant,810065435132,422,Chambray,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A109,E109,F109)",Pant,16288 - Chambray - XS,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435149,422,Chambray,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A110,E110,F110)",Pant,16288 - Chambray - S,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435156,422,Chambray,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A111,E111,F111)",Pant,16288 - Chambray - M,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435163,422,Chambray,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A112,E112,F112)",Pant,16288 - Chambray - L,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435170,216,Cocoa,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A113,E113,F113)",Pant,16288 - Cocoa - XS,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435187,216,Cocoa,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A114,E114,F114)",Pant,16288 - Cocoa - S,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435194,216,Cocoa,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A115,E115,F115)",Pant,16288 - Cocoa - M,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435200,216,Cocoa,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A116,E116,F116)",Pant,16288 - Cocoa - L,15.5,6.45,16288,#NAME?,,,
16288,Pull on Flare Pant,810065435217,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A117,E117,F117)",Pant,16288 - Black - XS,15.5,6.45,16288,#NAME?,,,
